false_id,group,control_id,design_distance,max_standardized_gap
zh_ja_020,true_friend,true_006084,31.993773058357753,2.819078007976271
zh_ja_020,true_friend,true_000664,32.04303113480095,2.4683864823640564
zh_ja_020,true_friend,true_004659,32.75516591831235,2.402363920056325
zh_ja_020,true_friend,true_004268,32.79056765192102,2.402363920056325
zh_ja_020,true_friend,true_005631,32.89623323966751,2.402363920056325
zh_ja_020,true_friend,true_002062,33.764486293053665,2.402363920056325
zh_ja_020,true_friend,true_000896,34.09264446149541,2.402363920056325
zh_ja_020,true_friend,true_002911,34.81622870216319,2.7855534605449135
zh_ja_020,true_friend,true_006212,35.115952518453334,2.402363920056325
zh_ja_020,true_friend,true_003422,35.411574739407534,2.8194389347285127
zh_ja_020,true_friend,true_006466,35.425468955393775,2.402363920056325
zh_ja_020,true_friend,true_000031,36.056241071255805,2.8407129350111484
zh_ja_020,true_friend,true_003714,36.0891320479389,2.402363920056325
zh_ja_020,true_friend,true_002198,36.324220083255604,2.96482175256018
zh_ja_020,true_friend,true_005513,36.32667701386624,2.9234521467105026
zh_ja_020,true_friend,true_006376,37.70696291838543,2.402363920056325
zh_ja_020,true_friend,true_005042,39.36007803716861,2.402363920056325
zh_ja_020,true_friend,true_003292,39.42353208999927,2.402363920056325
zh_ja_020,true_friend,true_002545,40.026127628934695,2.402363920056325
zh_ja_020,true_friend,true_004671,40.822180176236124,2.474982594286568
zh_ja_020,true_friend,true_006189,40.98923812490061,2.402363920056325
zh_ja_020,true_friend,true_006058,41.16283575392037,2.6025590166724735
zh_ja_021,true_friend,true_002250,0.04518136462791372,0.17437595925626462
zh_ja_021,true_friend,true_003564,0.06354940101377964,0.2068480292483851
zh_ja_021,true_friend,true_002967,0.06812361386210301,0.2068480292483851
zh_ja_021,true_friend,true_002438,0.20342580677402483,0.37781457838857196
zh_ja_021,true_friend,true_003251,0.20724984864228366,0.35721398268053595
zh_ja_021,true_friend,true_002137,0.21923342548203192,0.35721398268053595
zh_ja_021,true_friend,true_004274,0.23055398330417465,0.37781457838857135
zh_ja_021,true_friend,true_002715,0.28028356782449776,0.3954869093963074
zh_ja_021,true_friend,true_003775,0.4080943361231129,0.4940652178927488
zh_ja_021,true_friend,true_006463,0.41812291159261167,0.5085965478307706
