pair,model,prompt_mode,wrapper,normalization,comparison,n,estimate,ci_low,ci_high,positive_rate
id_tl,qwen3_8b,plain,refers,sum,masked_minus_shuffled,33,3.09084736217152,2.2273209412892663,4.028544125412449,0.9090909090909091
zh_ja,gemma3_12b,chat,bare,mean,full_minus_language_only,27,0.7883711567631474,-0.41632627955189455,2.00332318191175,0.5925925925925926
zh_ja,gemma3_12b,chat,bare,mean,full_minus_shuffled,27,2.6950433165938765,1.067979654117867,4.631971633434295,0.6666666666666666
zh_ja,gemma3_12b,chat,bare,mean,masked_minus_shuffled,27,3.263860649532742,2.0247862294868186,4.594372595239568,0.8518518518518519
zh_ja,gemma3_12b,chat,bare,sum,full_minus_language_only,27,3.5700740814208984,0.5405694069685759,6.992392825197288,0.6296296296296297
zh_ja,gemma3_12b,chat,bare,sum,full_minus_shuffled,27,8.274305661519369,4.482073093343664,12.70424067797484,0.8518518518518519
zh_ja,gemma3_12b,chat,bare,sum,masked_minus_shuffled,27,7.310346497429742,4.111972275486699,10.645502085155908,0.8518518518518519
zh_ja,gemma3_12b,chat,definition,mean,full_minus_language_only,27,1.194808465463144,0.6827901270654467,1.6711915011759155,0.8518518518518519
zh_ja,gemma3_12b,chat,definition,mean,full_minus_shuffled,27,2.4895294507344565,1.9219452699025472,3.0573225582087478,0.9629629629629629
zh_ja,gemma3_12b,chat,definition,mean,masked_minus_shuffled,27,1.817048814561632,1.3133058570049427,2.3081923957224237,0.8888888888888888
zh_ja,gemma3_12b,chat,definition,sum,full_minus_language_only,27,6.131241975007234,3.382700987215395,8.94679629007975,0.8518518518518519
zh_ja,gemma3_12b,chat,definition,sum,full_minus_shuffled,27,12.41353084422924,9.251550197601318,15.72971609963311,0.9259259259259259
zh_ja,gemma3_12b,chat,definition,sum,masked_minus_shuffled,27,9.081596939652055,6.450463181954843,11.63710931495384,0.8888888888888888
zh_ja,gemma3_12b,chat,refers,mean,full_minus_language_only,27,1.0079601252520527,0.6093605090070653,1.4084759045530246,0.8148148148148148
zh_ja,gemma3_12b,chat,refers,mean,full_minus_shuffled,27,2.1931996698732728,1.7915256376619693,2.5993882430924304,1.0
