pair,model,dose,lag,normalization,comparison,n_items,estimate,ci_low,ci_high,negative_rate
id_tl,qwen25_7b,4,0,mean,wrong_exact_minus_language,33,-2.0899686413697167,-4.150630368958501,-0.06116962115277007,0.6060606060606061
id_tl,qwen25_7b,4,0,mean,wrong_exact_minus_surface,33,0.40813937867201455,-1.4007408618524826,2.4340840252656015,0.6060606060606061
id_tl,qwen25_7b,4,0,mean,wrong_exact_minus_masked,33,-0.4123578710926019,-1.4283856385070868,0.7234649760007439,0.6060606060606061
id_tl,qwen25_7b,4,0,mean,wrong_masked_minus_language,33,-1.677610770277115,-3.3964807306614775,0.03926995217435568,0.6060606060606061
id_tl,qwen25_7b,4,0,mean,correct_exact_minus_language,33,11.170200468727147,8.597636421491298,13.926275099508738,0.06060606060606061
id_tl,qwen25_7b,4,0,sum,wrong_exact_minus_language,33,-2.909990478867919,-5.195161022271768,-0.5686981766736927,0.696969696969697
id_tl,qwen25_7b,4,0,sum,wrong_exact_minus_surface,33,0.34690832046820175,-1.8955374987531364,2.750270177447413,0.6060606060606061
id_tl,qwen25_7b,4,0,sum,wrong_exact_minus_masked,33,-0.976922105189949,-2.0065535467327926,0.07592835044955683,0.696969696969697
id_tl,qwen25_7b,4,0,sum,wrong_masked_minus_language,33,-1.9330683736779704,-3.883227669397435,-0.01974133903727027,0.6060606060606061
id_tl,qwen25_7b,4,0,sum,correct_exact_minus_language,33,13.639677886069737,9.95177126990245,17.371651735013764,0.09090909090909091
id_tl,qwen25_7b,4,2,mean,wrong_exact_minus_language,33,-1.7567740460879002,-3.6759356146185493,-0.1021145671174003,0.5454545454545454
id_tl,qwen25_7b,4,2,mean,wrong_exact_minus_surface,33,0.30659257170786747,-0.9855004110514648,1.7399107416112773,0.6060606060606061
id_tl,qwen25_7b,4,2,mean,wrong_exact_minus_masked,33,-0.007604050294805698,-0.7662878019474156,0.8147026765894023,0.5757575757575758
id_tl,qwen25_7b,4,2,mean,wrong_masked_minus_language,33,-1.7491699957930944,-3.414601204010207,-0.3405711093754524,0.6363636363636364
id_tl,qwen25_7b,4,2,mean,correct_exact_minus_language,33,10.65569194242936,8.208035031888112,13.434804297452251,0.0
id_tl,qwen25_7b,4,2,sum,wrong_exact_minus_language,33,-2.480506124592282,-4.494151801675308,-0.6596311760984308,0.6363636363636364
id_tl,qwen25_7b,4,2,sum,wrong_exact_minus_surface,33,0.3416768751763333,-1.6638359300571732,2.4009077886086887,0.6060606060606061
id_tl,qwen25_7b,4,2,sum,wrong_exact_minus_masked,33,-0.3409761177573457,-1.1865830175956062,0.5119681796492936,0.6060606060606061
id_tl,qwen25_7b,4,2,sum,wrong_masked_minus_language,33,-2.1395300068349363,-3.8499067556271056,-0.5596234631268977,0.7272727272727273
id_tl,qwen25_7b,4,2,sum,correct_exact_minus_language,33,13.178033320688296,9.894679545953585,16.620915417312318,0.06060606060606061
id_tl,qwen25_7b,4,8,mean,wrong_exact_minus_language,33,-2.2060661855661743,-4.1494006896064315,-0.4686665401769342,0.5757575757575758
id_tl,qwen25_7b,4,8,mean,wrong_exact_minus_surface,33,0.34173089874005225,-1.0969232394931498,1.9344258199728106,0.5454545454545454
id_tl,qwen25_7b,4,8,mean,wrong_exact_minus_masked,33,-0.43819367962670663,-1.4450000697906062,0.6114522825684445,0.5454545454545454
id_tl,qwen25_7b,4,8,mean,wrong_masked_minus_language,33,-1.7678725059394678,-3.424479718820967,-0.424143975608187,0.696969696969697
id_tl,qwen25_7b,4,8,mean,correct_exact_minus_language,33,10.068780360597884,7.520269585533287,12.917838356754707,0.0
id_tl,qwen25_7b,4,8,sum,wrong_exact_minus_language,33,-2.770933922341405,-4.818903503043552,-0.8916359131148622,0.6060606060606061
id_tl,qwen25_7b,4,8,sum,wrong_exact_minus_surface,33,0.5435499057145508,-1.306214990518338,2.526170895445852,0.5454545454545454
id_tl,qwen25_7b,4,8,sum,wrong_exact_minus_masked,33,-0.8392323832853106,-1.780798556442923,0.1307408163502149,0.6060606060606061
id_tl,qwen25_7b,4,8,sum,wrong_masked_minus_language,33,-1.9317015390560943,-3.819180752539031,-0.37841957051811564,0.6363636363636364
id_tl,qwen25_7b,4,8,sum,correct_exact_minus_language,33,12.633530333439756,9.268198524876281,16.09766976811251,0.09090909090909091
id_tl,qwen25_7b,8,0,mean,wrong_exact_minus_language,33,-2.436574291586029,-4.6140694482333355,-0.4389509447109691,0.6363636363636364
id_tl,qwen25_7b,8,0,mean,wrong_exact_minus_surface,33,0.2324371365345247,-1.4068866262358797,2.0345418014821144,0.5757575757575758
id_tl,qwen25_7b,8,0,mean,wrong_exact_minus_masked,33,-0.5164574811907096,-1.6715315129205721,0.6635621184652045,0.5757575757575758
id_tl,qwen25_7b,8,0,mean,wrong_masked_minus_language,33,-1.9201168103953192,-3.665765740421039,-0.22299597701523213,0.6666666666666666
id_tl,qwen25_7b,8,0,mean,correct_exact_minus_language,33,11.077744024815425,8.539344732135545,13.868492031549755,0.030303030303030304
id_tl,qwen25_7b,8,0,sum,wrong_exact_minus_language,33,-3.389855643769613,-5.631554073359704,-1.014796439311856,0.7272727272727273
id_tl,qwen25_7b,8,0,sum,wrong_exact_minus_surface,33,0.23356783286417976,-1.8996933150867168,2.5570338370779173,0.6060606060606061
id_tl,qwen25_7b,8,0,sum,wrong_exact_minus_masked,33,-1.06727243434359,-2.2651147309224586,0.10827904120365371,0.6363636363636364
id_tl,qwen25_7b,8,0,sum,wrong_masked_minus_language,33,-2.3225832094260226,-4.287067547885332,-0.3775125830230344,0.6363636363636364
id_tl,qwen25_7b,8,0,sum,correct_exact_minus_language,33,13.523616511807742,9.942121581723018,17.298126311759507,0.09090909090909091
id_tl,qwen25_7b,8,2,mean,wrong_exact_minus_language,33,-1.5812377789442142,-3.5040930093612044,0.06560864684876441,0.5454545454545454
id_tl,qwen25_7b,8,2,mean,wrong_exact_minus_surface,33,0.784710038509805,-0.6225412000083355,2.3326385183627143,0.5757575757575758
id_tl,qwen25_7b,8,2,mean,wrong_exact_minus_masked,33,-0.002349665254391112,-0.8847832513906085,0.8934166231406072,0.5454545454545454
id_tl,qwen25_7b,8,2,mean,wrong_masked_minus_language,33,-1.5788881136898232,-3.3616208955460793,-0.09513987915266157,0.5151515151515151
id_tl,qwen25_7b,8,2,mean,correct_exact_minus_language,33,10.797073381640732,8.360751156167481,13.49960644857633,0.0
id_tl,qwen25_7b,8,2,sum,wrong_exact_minus_language,33,-2.314611573987553,-4.25730070554311,-0.5024220209416606,0.6363636363636364
id_tl,qwen25_7b,8,2,sum,wrong_exact_minus_surface,33,0.7809026784856418,-1.3816552020284625,2.9819832161153927,0.5757575757575758
id_tl,qwen25_7b,8,2,sum,wrong_exact_minus_masked,33,-0.4288053831268807,-1.3904434110196722,0.5174757100603117,0.5757575757575758
id_tl,qwen25_7b,8,2,sum,wrong_masked_minus_language,33,-1.885806190860672,-3.85595165693204,-0.21398224387262518,0.48484848484848486
id_tl,qwen25_7b,8,2,sum,correct_exact_minus_language,33,13.224831841094064,9.882597238895617,16.725006522069933,0.09090909090909091
id_tl,qwen25_7b,8,8,mean,wrong_exact_minus_language,33,-2.1108594816095407,-4.06104734798488,-0.4591996642729716,0.5757575757575758
