pair,model,prompt_mode,condition,wrapper,normalization,effect,n,estimate,ci_low,ci_high,positive_rate
id_tl,gemma3_12b,chat,masked,bare,mean,diagonal_switch,33,2.9847405751546225,1.4443701744079591,4.521681689493584,0.7575757575757576
id_tl,gemma3_12b,chat,masked,bare,mean,midpoint,33,4.430790063106652,-2.635158861767162,11.265106197559469,0.5757575757575758
id_tl,gemma3_12b,chat,masked,bare,sum,semantic,33,4.720796122695461,2.649018705252445,6.904906606674193,0.8787878787878788
id_tl,gemma3_12b,chat,masked,bare,sum,language,33,-0.9199810028076172,-2.511314889156457,0.6897334178288778,0.42424242424242425
id_tl,gemma3_12b,chat,masked,bare,sum,interaction,33,1.7056869738029712,-0.4574881972688616,3.8545511130130636,0.6666666666666666
id_tl,gemma3_12b,chat,masked,bare,sum,diagonal_switch,33,3.8008151198878433,1.513893630287864,6.2608210621458085,0.696969696969697
id_tl,gemma3_12b,chat,masked,bare,sum,midpoint,33,-1.384652397849343,-6.4392003420627475,3.998023637135823,0.45454545454545453
id_tl,gemma3_12b,chat,masked,definition,mean,semantic,33,2.8335945822975854,2.2141704299233176,3.4812069488294193,0.9696969696969697
id_tl,gemma3_12b,chat,masked,definition,mean,language,33,0.020046176332415955,-0.3091316483237527,0.3581053946957444,0.48484848484848486
id_tl,gemma3_12b,chat,masked,definition,mean,interaction,33,0.6764367421468099,0.13736618504379736,1.2425867376905497,0.6363636363636364
id_tl,gemma3_12b,chat,masked,definition,mean,diagonal_switch,33,2.853640758630001,2.0795275803768276,3.5771992827906747,0.8787878787878788
id_tl,gemma3_12b,chat,masked,definition,mean,midpoint,33,0.8871266336152048,-0.0952780398455533,1.9238116864002104,0.6060606060606061
id_tl,gemma3_12b,chat,masked,definition,sum,semantic,33,11.705201466878256,9.081578581260912,14.135131295522052,0.9090909090909091
id_tl,gemma3_12b,chat,masked,definition,sum,language,33,-0.05132397738370029,-1.4925090385205817,1.5150025165442262,0.48484848484848486
id_tl,gemma3_12b,chat,masked,definition,sum,interaction,33,2.4722500425396543,0.3817767345544064,4.671034888065219,0.6666666666666666
id_tl,gemma3_12b,chat,masked,definition,sum,diagonal_switch,33,11.653877489494555,8.488559699781014,14.738171334700152,0.8787878787878788
id_tl,gemma3_12b,chat,masked,definition,sum,midpoint,33,2.476919000799006,-0.7103287032156279,6.193213422370675,0.5757575757575758
id_tl,gemma3_12b,chat,masked,refers,mean,semantic,33,2.7014048460758096,2.139033689282157,3.2847397027593663,0.9696969696969697
id_tl,gemma3_12b,chat,masked,refers,mean,language,33,0.16177962043068625,-0.05618945974292176,0.37257356210188414,0.6666666666666666
id_tl,gemma3_12b,chat,masked,refers,mean,interaction,33,0.3421014438975941,-0.1467522823449337,0.884305878119035,0.6060606060606061
id_tl,gemma3_12b,chat,masked,refers,mean,diagonal_switch,33,2.8631844665064956,2.2925457441445554,3.4502785494833277,0.9696969696969697
id_tl,gemma3_12b,chat,masked,refers,mean,midpoint,33,0.3785996148080537,-0.3804027167233554,1.132572435971462,0.6363636363636364
id_tl,gemma3_12b,chat,masked,refers,sum,semantic,33,13.705645474520596,10.908961692000881,16.63378902204109,0.9696969696969697
id_tl,gemma3_12b,chat,masked,refers,sum,language,33,0.7101528283321497,-0.5336329864733147,1.9284358718178476,0.6363636363636364
id_tl,gemma3_12b,chat,masked,refers,sum,interaction,33,2.051488240559896,-0.5639739643443714,4.92434225949374,0.6666666666666666
id_tl,gemma3_12b,chat,masked,refers,sum,diagonal_switch,33,14.415798302852746,11.378617853106874,17.385033237572866,0.9393939393939394
id_tl,gemma3_12b,chat,masked,refers,sum,midpoint,33,0.7438238895300663,-2.6914860609805946,4.623680626262316,0.5757575757575758
id_tl,gemma3_12b,chat,shuffled,bare,mean,semantic,33,-0.11661270892981326,-1.168720132293123,1.0095983104272315,0.36363636363636365
id_tl,gemma3_12b,chat,shuffled,bare,mean,language,33,-0.02854253306533351,-0.7051032973058295,0.6569173278230608,0.5151515151515151
id_tl,gemma3_12b,chat,shuffled,bare,mean,interaction,33,1.1009286533702503,-0.3540430213465835,2.5967074372551546,0.6666666666666666
id_tl,gemma3_12b,chat,shuffled,bare,mean,diagonal_switch,33,-0.1451552419951468,-1.548344544208411,1.2735874920180348,0.42424242424242425
id_tl,gemma3_12b,chat,shuffled,bare,mean,midpoint,33,2.0549755963412197,-4.6880306937477805,8.813729455254293,0.5151515151515151
id_tl,gemma3_12b,chat,shuffled,bare,sum,semantic,33,-0.6700792601614287,-2.484221352952899,1.2510869488571612,0.36363636363636365
id_tl,gemma3_12b,chat,shuffled,bare,sum,language,33,0.4435269326874704,-0.5907149531624534,1.4652211940649784,0.6060606060606061
id_tl,gemma3_12b,chat,shuffled,bare,sum,interaction,33,1.9338344227183948,-0.49198430668223986,4.549734705144708,0.6666666666666666
id_tl,gemma3_12b,chat,shuffled,bare,sum,diagonal_switch,33,-0.22655232747395834,-2.327488318356601,2.035600153605143,0.42424242424242425
id_tl,gemma3_12b,chat,shuffled,bare,sum,midpoint,33,-3.526229511607777,-8.87460414279591,2.0073738777276118,0.36363636363636365
id_tl,gemma3_12b,chat,shuffled,definition,mean,semantic,33,-0.25705133784901013,-0.6456404129664103,0.09858131300319305,0.42424242424242425
id_tl,gemma3_12b,chat,shuffled,definition,mean,language,33,0.03339661973895448,-0.18184045589331424,0.24833093484242733,0.5454545454545454
id_tl,gemma3_12b,chat,shuffled,definition,mean,interaction,33,0.36316082694313745,-0.03933615756757331,0.8035596283999351,0.5151515151515151
id_tl,gemma3_12b,chat,shuffled,definition,mean,diagonal_switch,33,-0.22365471811005563,-0.609677031545928,0.12287158893816391,0.42424242424242425
