pair,model,prompt_mode,wrapper,normalization,calibration,l1_accuracy,l2_accuracy,both_accuracy,stingray_bias,stingray_comprehension
id_tl,qwen3_8b,plain,definition,mean,raw,0.7575757575757576,0.7272727272727273,0.48484848484848486,-0.02598087395349815,0.7425788336268391
id_tl,qwen3_8b,plain,definition,mean,content_free_calibrated,0.9090909090909091,0.8181818181818182,0.7575757575757576,-0.06695083342629632,0.8648317086563839
id_tl,qwen3_8b,plain,definition,sum,raw,0.8181818181818182,0.696969696969697,0.5151515151515151,-0.10164269466446359,0.7599961335748153
id_tl,qwen3_8b,plain,definition,sum,content_free_calibrated,0.9393939393939394,0.8181818181818182,0.7878787878787878,-0.08767080508972364,0.8808752638635535
id_tl,qwen3_8b,plain,refers,mean,raw,0.9090909090909091,0.7575757575757576,0.6666666666666666,-0.11543175350521781,0.8367697740293378
id_tl,qwen3_8b,plain,refers,mean,content_free_calibrated,0.9090909090909091,0.9090909090909091,0.8484848484848485,0.0,0.909090909090909
id_tl,qwen3_8b,plain,refers,sum,raw,0.8787878787878788,0.696969696969697,0.5757575757575758,-0.14626543678173345,0.7931062017152969
id_tl,qwen3_8b,plain,refers,sum,content_free_calibrated,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.0,0.909090909090909
zh_ja,gemma3_12b,chat,bare,mean,raw,0.5555555555555556,0.5555555555555556,0.14814814814814814,0.0,0.5555555555555556
zh_ja,gemma3_12b,chat,bare,mean,content_free_calibrated,0.5185185185185185,0.7407407407407407,0.3333333333333333,0.2223995511431409,0.6393583889493358
zh_ja,gemma3_12b,chat,bare,sum,raw,0.6296296296296297,0.5925925925925926,0.2222222222222222,-0.038571213087297586,0.6113916303414509
zh_ja,gemma3_12b,chat,bare,sum,content_free_calibrated,0.5555555555555556,0.7037037037037037,0.3333333333333333,0.14910748461682072,0.63397195439347
zh_ja,gemma3_12b,chat,definition,mean,raw,0.8518518518518519,0.6296296296296297,0.48148148148148145,-0.1895725691099585,0.7490277191169143
zh_ja,gemma3_12b,chat,definition,mean,content_free_calibrated,0.5185185185185185,0.8148148148148148,0.3333333333333333,0.27841794909225576,0.6829292190587323
zh_ja,gemma3_12b,chat,definition,sum,raw,0.8148148148148148,0.8148148148148148,0.6296296296296297,0.0,0.8148148148148148
zh_ja,gemma3_12b,chat,definition,sum,content_free_calibrated,0.48148148148148145,0.7777777777777778,0.25925925925925924,0.29423377589304917,0.6468240443175178
zh_ja,gemma3_12b,chat,refers,mean,raw,0.8888888888888888,0.6666666666666666,0.5555555555555556,-0.1806689412034662,0.7856742013183862
zh_ja,gemma3_12b,chat,refers,mean,content_free_calibrated,0.5925925925925926,0.9259259259259259,0.5185185185185185,0.2751279317512708,0.7773367356227909
zh_ja,gemma3_12b,chat,refers,sum,raw,0.7407407407407407,0.9259259259259259,0.6666666666666666,0.14089314990910926,0.8384615868645756
zh_ja,gemma3_12b,chat,refers,sum,content_free_calibrated,0.5555555555555556,0.8518518518518519,0.4074074074074074,0.26419240088062174,0.7191291792202814
zh_ja,gemma3_12b,plain,bare,mean,raw,0.5555555555555556,0.4074074074074074,0.037037037037037035,-0.19435916139011572,0.4871461643691076
zh_ja,gemma3_12b,plain,bare,mean,content_free_calibrated,0.48148148148148145,0.6296296296296297,0.18518518518518517,0.16876985263536548,0.5604720722378354
zh_ja,gemma3_12b,plain,bare,sum,raw,0.5185185185185185,0.5555555555555556,0.07407407407407407,0.043887422464043986,0.5373562269832188
zh_ja,gemma3_12b,plain,bare,sum,content_free_calibrated,0.5555555555555556,0.6666666666666666,0.25925925925925924,0.11543175350521795,0.6136311676215145
zh_ja,gemma3_12b,plain,definition,mean,raw,0.5555555555555556,0.4444444444444444,0.037037037037037035,-0.14089314990910912,0.5030769521187454
zh_ja,gemma3_12b,plain,definition,mean,content_free_calibrated,0.6666666666666666,0.5925925925925926,0.2962962962962963,-0.07481023696510665,0.6307180135528296
zh_ja,gemma3_12b,plain,definition,sum,raw,0.4444444444444444,0.5925925925925926,0.037037037037037035,0.1806689412034662,0.523782800878924
